mult,pT,eta
42,17.0483,48.0689
56,28.1447,4.17101
50,20.9241,-40.4906
118,51.8422,-73.889
34,14.8545,-7.15174
40,15.7476,9.10774
184,98.3222,-52.973
132,67.4355,39.7409
188,109.81,1.20894
50,17.3089,-19.3111
118,53.8398,85.1119
152,79.4118,49.7946
170,95.6079,-50.5361
44,15.7462,-28.0915
150,80.1043,41.167
58,19.5125,-56.6376
36,12.5501,23.0848
44,14.3885,-3.01956
36,17.6069,-13.7802
44,17.065,36.1152
42,17.1232,24.5337
96,38.5493,175.359
60,31.1459,-29.6355
104,63.9965,-28.9756
148,81.579,-119.116
168,101.727,6.98887
84,42.7047,34.54
58,25.0881,-36.8952
72,30.4379,-61.9027
40,12.1763,-41.9303
244,146.081,109.449
110,45.8421,-58.0258
66,29.2583,-31.6548
136,80.9461,7.81114
136,82.3707,-77.9478
94,50.0991,-49.4944
106,50.9376,-80.6688
128,79.1647,18.2398
42,19.2539,12.9556
92,42.5335,-84.9335
174,79.5873,-14.8638
104,53.2278,-0.383037
162,79.5504,45.2051
124,61.0132,65.674
78,28.8585,-50.9132
94,39.8564,103.474
34,14.383,-29.2545
32,14.7313,-18.2432
30,16.569,-80.795
54,21.6881,-67.1116
56,23.5753,44.1375
52,28.2444,38.6807
226,129.514,-75.1348
148,93.6808,37.3428
190,130.157,68.0974
154,87.6689,59.9678
148,68.838,28.33
32,18.6677,5.25102
62,20.7572,35.8776
46,15.7874,-19.2511
78,35.8366,54.8324
74,32.9525,-24.9495
60,25.5859,18.8836
46,18.9611,-18.7001
170,80.1742,-51.1076
64,28.0486,-21.3118
50,20.3224,54.9482
66,24.7176,-65.1618
174,82.4979,-14.8234
190,93.087,-33.8603
76,32.6812,-32.5701
58,29.4908,-41.7825
38,12.2302,32.9361
108,43.1369,-33.9837
34,14.6959,18.1876
158,77.5235,-101.358
144,77.641,40.0406
96,46.6105,-28.0226
136,72.6746,-14.8438
146,68.9315,4.67447
28,9.5649,-27.9164
48,22.7644,5.1368
44,20.6041,54.9198
42,16.3005,-44.6136
74,37.1528,-21.0794
64,24.8784,31.0436
108,51.2853,-37.086
92,45.6199,-23.4932
38,18.6817,20.2581
18,5.49694,39.5351
56,26.9025,-3.74435
44,17.1388,-44.0345
132,86.5337,-40.3656
80,38.1372,-25.2767
114,54.8996,-70.6106
64,24.7778,-55.1449
86,40.3621,-18.7989
162,89.7148,91.0951
144,72.7643,-117.25
208,117.633,26.439
298,171.316,-78.1742
200,116.159,-129.144
48,19.379,-15.4339
68,40.9561,-51.8737
106,48.2323,-28.3429
36,11.6547,12.5001
218,121.194,-17.8411
168,90.9679,43.1632
50,20.3327,40.0548
52,24.9073,-10.9137
34,12.8902,-12.5019
40,12.3551,24.2335
80,37.5181,7.79655
108,48.0135,32.5119
36,12.4959,54.6349
54,25.7855,52.6687
92,40.4465,-34.7683
94,39.7044,-17.106
30,9.86784,17.3575
50,17.4628,8.69098
46,14.3027,26.0437
104,57.7421,1.69832
194,101.837,-89.6971
74,33.5486,-7.45138
56,22.1764,-0.55397
50,34.5622,-79.8409
60,23.2637,20.7246
116,54.7969,-25.9805
96,41.2163,-4.14231
42,16.7216,-19.7229
54,21.4603,19.3266
148,72.2779,74.1562
38,18.1075,-71.6069
40,16.0616,-1.80546
126,50.4027,70.3222
218,109.769,-14.0668
144,70.0937,90.1364
58,25.1466,-3.3102
124,58.3241,-80.7489
42,15.3354,11.8156
170,97.4498,4.32298
42,14.6521,-16.8653
44,14.2666,-1.71281
22,9.19839,-44.5131
56,24.6896,25.3974
114,63.313,-48.4693
46,18.9913,-39.2983
48,19.1596,4.12776
32,8.48888,-12.8559
136,61.2634,71.1325
38,10.8332,36.8389
92,44.7477,-47.1975
34,14.3492,-75.02
226,140.299,-57.31
188,95.856,49.0767
200,109.099,-100.095
94,47.2094,23.3825
148,87.7818,69.6885
52,17.1908,-30.9546
46,18.9026,60.2971
150,77.9197,9.64836
46,19.4292,-9.09303
142,70.3964,10.1871
196,83.3695,53.1128
98,45.5324,19.5556
182,99.2599,-14.0806
170,95.7396,22.7038
66,40.0782,104.141
130,51.0486,-5.88457
178,80.9258,-24.1788
138,88.6709,12.5242
76,31.1138,31.8978
72,36.7198,12.4902
36,14.2634,-1.90254
98,35.0833,-83.8431
216,105.452,12.1522
48,15.3277,65.7722
164,81.8117,-49.7056
40,16.6238,-40.9462
50,19.9579,-31.6197
158,87.6805,11.1783
90,41.708,30.3174
116,53.6473,24.0518
56,23.521,9.84569
50,21.3402,-65.9758
44,18.7096,-23.8823
54,17.2598,14.4927
96,46.4767,-17.9775
38,15.4259,-5.76163
66,21.688,-122.705
58,22.2605,128.453
36,10.1302,-3.55328
54,26.909,25.3531
20,11.1649,46.1373
62,23.0995,-2.41537
102,47.4361,-27.6925
78,43.8418,40.0713
38,17.6398,72.475
42,19.0244,14.7783
72,34.1177,-51.8706
50,17.8499,42.2614
88,35.7247,-69.4322
90,42.9128,-38.5292
112,45.8278,-30.6115
224,128.862,-95.1692
76,25.7694,-71.8059
28,12.5323,51.9823
78,32.5516,-112.956
136,51.9139,27.1247
32,12.1626,27.9915
34,11.0978,-28.7682
156,86.8512,-58.3401
142,84.4849,11.0379
38,14.3083,50.6358
178,95.2677,-96.0999
138,84.242,25.9375
126,60.9283,-45.5211
136,70.1184,94.4906
140,71.8743,-60.7001
58,26.3332,10.5392
54,27.4674,-32.9222
108,51.1718,121.057
42,19.4662,24.2405
34,12.2686,13.3864
62,20.5847,-27.436
198,89.9638,-42.7633
118,63.1885,67.1725
56,27.0243,35.2058
40,13.0343,-4.6915
36,12.2304,-30.5214
62,25.8707,-22.966
166,78.5143,-62.4788
44,18.5303,29.4214
38,13.7055,-21.8169
60,20.8549,2.68715
18,7.99196,-14.7996
62,31.2609,-34.1309
42,14.1467,-61.7065
52,20.9602,41.115
160,85.4125,58.4257
66,26.2432,73.3195
220,122.877,140.065
38,20.1738,-3.91386
52,29.5917,-8.63192
318,188.195,73.3205
60,22.062,-17.1783
66,27.1179,-69.1604
78,44.5975,-36.1894
92,42.191,22.6076
44,14.7134,9.41478
46,17.6092,9.11366
40,16.8921,7.14571
160,86.0954,57.4153
64,22.8155,55.9104
48,24.5381,-44.1053
38,12.3225,49.7743
84,32.5159,42.3853
88,37.4429,-43.8761
110,56.9832,-25.6616
100,52.1679,81.1075
92,44.5421,-53.3384
158,94.7553,-76.8495
182,103.476,96.8254
48,19.9535,1.9008
82,39.4254,-13.6674
58,25.5683,-22.8669
38,15.0078,-1.84792
40,14.3658,13.8725
52,19.7134,-10.807
90,49.2715,33.4872
72,29.2926,-50.8378
238,119.94,101.655
64,28.2305,29.3763
188,109.474,87.3922
36,12.9175,-11.5138
180,92.2857,-46.6092
52,18.0996,58.3882
208,132.603,-119.413
118,60.2144,-29.0249
40,19.0819,29.9207
152,76.0561,39.6101
104,50.9064,-13.2164
54,23.1128,13.0395
62,27.6792,55.1669
44,14.8551,20.4381
58,27.5485,-41.9977
164,90.7013,22.894
122,70.9487,-102.849
50,28.8722,71.6413
32,10.8681,-9.47839
110,55.3785,83.6846
62,25.3392,-38.8703
56,26.082,36.671
68,27.8041,-113.334
182,101.821,88.5777
80,43.7628,42.4456
66,33.9298,30.9984
198,132.329,-26.6555
76,33.2754,1.18024
140,69.9693,-100.163
98,40.4509,25.9978
102,51.6274,-31.2866
270,143.114,-168.272
94,44.5538,30.9205
46,16.7392,-4.47942
40,16.4878,34.6322
166,89.078,-1.60769
42,15.6272,-26.1006
100,50.238,26.5944
40,11.5355,-70.4489
184,83.7113,-14.9033
176,101.688,-23.4657
48,24.2399,-46.7459
48,16.1671,-22.207
76,32.6228,-39.5151
68,27.5655,-2.88479
34,11.4432,-2.18053
172,73.5331,-26.0095
46,19.4866,-11.69
256,125.038,-67.2268
26,17.3511,-40.6743
50,21.5532,-42.0003
34,13.1814,28.8791
46,20.0179,-19.2345
132,60.1764,-35.8485
86,42.4213,-116.249
126,57.2811,21.0566
42,19.8902,0.132359
102,42.3906,208.472
40,14.2907,40.8077
190,104.945,90.9525
90,44.6157,-61.6767
128,80.9046,66.3254
52,26.1033,69.5232
114,43.1361,-34.3605
136,62.0189,-107.863
120,66.629,-68.5502
252,132.168,58.3311
60,22.0993,-29.5498
68,28.9489,3.77721
224,122.068,-92.9582
92,56.1622,-40.8723
44,14.2659,-57.7655
86,39.063,-83.8992
136,66.9598,-75.4399
44,17.5803,-31.1583
52,24.2611,20.4288
186,99.3505,89.2218
46,24.2553,-8.55515
112,50.9347,51.2197
68,29.7542,29.3923
86,35.5677,38.7775
82,31.192,-3.32401
84,41.7894,3.63339
48,19.8553,-34.0556
40,15.2333,-26.5436
98,47.4999,21.6725
30,9.83236,24.9121
78,30.3593,15.8681
66,23.6251,-40.2593
64,28.13,4.60368
36,11.6755,-23.6981
210,112.343,-109.531
40,13.0129,-12.0705
122,54.8209,64.1533
50,18.1607,17.4608
36,14.4442,0.511705
36,15.1707,3.13854
170,68.5888,-100.579
50,20.516,1.25601
46,17.3743,-76.2244
188,92.2127,7.78925
132,69.6703,100.63
126,48.9384,11.9479
84,39.7371,-7.86792
216,127.012,95.5423
122,59.3881,37.1857
40,16.3212,69.7503
76,36.0317,20.1783
92,38.6118,75.18
18,7.28173,-3.80173
198,152.212,-10.2489
162,92.6969,48.3799
214,113.7,29.5754
46,13.9037,34.4547
56,24.3793,-77.8564
170,97.2072,58.1409
40,16.8898,-83.1118
70,26.5682,-6.1844
178,103.878,65.1366
40,15.6225,-14.758
52,21.0383,-40.9466
192,91.9435,-67.8489
160,70.7023,35.5337
66,29.4845,87.1684
102,47.0961,-115.668
62,27.0461,-25.0299
42,16.403,-10.141
112,64.3898,-9.67407
44,18.5693,-24.9347
50,20.0999,-7.46517
44,18.3469,66.6044
44,17.7365,38.4967
40,16.3867,47.7632
52,23.2045,69.7043
90,39.8961,-112.98
50,21.9152,-22.3028
26,9.88149,-31.2538
168,79.7933,90.3689
222,116.028,-7.13345
54,18.6827,4.74499
226,158.003,28.3072
70,28.0925,27.4329
78,31.2167,-51.9282
60,27.1966,31.1034
104,47.6779,36.9184
40,12.6311,-11.4019
62,27.2684,42.6413
54,24.7821,43.4001
64,34.4574,-21.6395
26,8.87005,60.5868
68,24.4276,66.1678
84,35.0565,-48.2854
40,19.482,-7.56668
94,53.8621,34.076
296,180.554,-22.8027
138,71.9935,-17.418
46,17.8416,46.1126
96,45.1139,11.3901
138,75.0573,-61.1733
174,90.5865,6.02303
190,95.618,-41.6467
38,18.3892,-51.4535
186,107.012,38.0272
52,19.3997,-76.3219
28,11.1697,0.642376
74,31.9852,24.2565
138,75.3705,-7.99158
38,13.6101,-0.947438
24,9.60298,-0.357124
258,153.342,9.69098
178,85.9377,142.979
104,42.5815,16.2164
42,20.2119,-45.3565
90,46.8813,-68.5655
96,34.8796,64.2722
170,85.3928,-29.7171
56,21.6876,-42.8815
54,21.6971,8.9858
72,34.5006,15.5575
64,30.038,18.9015
42,16.8517,32.2024
44,15.0637,54.3466
96,42.0881,-4.45828
46,21.4857,-23.5234
40,14.8166,-5.21701
84,37.102,12.2352
40,20.6902,14.1776
42,16.4717,7.96078
138,80.8039,-95.946
52,16.611,-6.89101
44,17.9901,14.2438
126,60.994,-57.601
48,16.7094,-16.0285
50,28.9087,-29.4317
48,21.8626,9.23174
36,18.6406,67.8498
98,48.2994,-70.4649
32,11.1395,-87.0696
42,12.6723,-18.0108
40,13.2391,31.1707
32,11.3493,26.7873
36,16.3846,-13.5868
58,25.162,-23.801
146,76.43,11.1095
68,29.1778,-66.1217
84,42.5327,-68.0414
112,61.8553,95.2314
186,102.144,29.8649
50,17.1131,43.4803
92,45.6355,-104.725
210,123.261,-70.9958
88,57.6805,-152.178
130,50.3019,51.3458
86,45.2951,13.4198
24,7.82454,-22.1653
82,37.9713,2.91633
114,48.2208,-39.1165
38,12.8683,0.265138
124,92.9319,-77.5989
138,82.1887,101.419
44,17.3206,31.4646
30,11.2565,25.5646
144,65.316,-17.3165
276,155.934,-192.007
38,15.1443,14.5583
54,23.6871,23.1118
68,27.5906,-145.634
68,27.7997,-3.50662
46,16.7917,-30.2886
52,26.7173,1.60964
128,66.3802,-101.077
