mult,pT,eta
42,17.7229,25.99
24,8.52823,-50.4505
16,5.55878,45.5071
18,7.40353,-31.1411
36,15.1355,-106.342
18,7.7748,19.2621
18,6.25918,-24.0017
18,7.38689,-59.1472
26,10.1551,70.1718
38,16.5293,-25.5527
16,6.28786,-57.1504
28,10.1294,-86.0191
16,4.79155,75.4255
4,1.46588,13.9435
6,1.5118,26.555
86,33.5068,139.342
40,14.6796,-72.2378
24,6.69131,-50.0449
52,20.4333,-49.3751
32,12.3203,-92.9175
26,8.5843,-37.8848
8,2.60128,-37.7575
46,18.6374,-40.2875
16,6.97678,-29.4119
42,17.2154,-120.468
24,9.27124,-46.2604
8,3.75602,-11.3132
32,10.5768,-18.451
20,7.36254,-24.8994
42,14.4639,97.8102
26,11.4411,-108.044
2,0.363412,2.23952
20,9.62276,-48.883
24,11.6515,-6.59181
18,8.62613,-74.2947
40,15.7026,-115.13
28,11.5573,-21.3727
22,11.1486,3.13649
10,3.68252,-50.9399
26,10.1604,40.4762
2,0.879855,-0.05301
40,13.7164,-41.6732
38,15.0527,-9.37342
40,17.3766,131.656
34,11.9876,-44.67
40,15.9537,-27.4189
4,1.0226,17.766
10,4.49986,-55.0175
16,4.69493,11.0537
28,12.4523,-52.2961
16,6.8646,54.3727
28,11.3431,81.8056
22,9.48132,57.8397
66,32.934,-142.981
38,13.5619,92.8407
20,8.31021,-54.0783
12,3.86702,50.8424
68,36.6954,120.316
14,5.15618,11.6051
4,1.37032,14.7611
16,6.17748,50.6366
22,10.5234,-65.1662
72,32.669,-143.686
16,4.67743,-23.5389
32,11.5407,-106.508
10,4.67211,27.4356
20,5.67085,-83.7045
94,49.0522,-59.1615
16,5.65843,-25.7693
36,15.7866,89.0322
16,7.35122,29.1382
20,8.75098,70.9687
4,0.902754,-16.5845
30,10.5091,31.2495
32,10.6906,64.9404
60,25.1961,-113.146
4,0.538543,21.9213
12,5.82017,20.6592
26,10.4491,85.6151
26,7.83339,-18.7045
6,2.16076,-4.87993
28,9.23529,-61.0776
56,24.4803,-75.668
32,11.7225,67.7335
24,10.4125,28.4522
72,37.7869,-130.835
26,7.32968,-82.4919
14,4.14274,53.2277
12,4.14586,-38.313
46,18.7702,-68.2604
12,4.58993,9.51533
2,1.16008,-0.167864
4,0.928472,-22.1321
46,15.2485,-98.7108
46,21.7088,11.9807
32,10.2959,-147.568
24,9.10556,26.5795
44,14.5366,51.9703
28,11.4749,-45.0496
18,7.67098,0.064751
26,11.8233,41.7285
14,4.63754,40.8342
26,15.8511,-5.34225
18,8.08034,16.7657
34,12.6283,-27.0035
28,13.4141,3.95634
4,1.54103,12.0283
38,14.8779,84.4907
36,10.9738,-100.604
14,4.61064,-38.2395
42,17.515,-127.684
28,10.066,45.1255
58,19.7091,50.379
16,5.80056,-3.023
28,11.8505,-113.238
32,13.7852,34.209
22,6.21339,35.4281
24,11.7252,64.6327
30,13.0046,-53.467
34,12.7566,-74.6811
46,18.1135,18.6196
8,2.52541,15.5109
28,8.88187,-21.0181
42,21.2571,-107.845
6,2.33188,-2.40978
32,12.7422,55.2129
4,1.45213,-17.423
28,10.1803,38.7748
32,14.8529,-29.1597
30,10.6584,-40.4238
46,18.9195,114.208
46,22.872,-80.9905
28,10.1433,-24.827
20,5.84509,27.9916
20,5.84957,-19.1063
8,2.33141,-13.2901
2,0.654408,-1.74074
26,7.08085,76.0754
26,10.0592,88.172
26,10.1027,106.525
14,8.14372,-23.4949
8,2.52188,-36.4893
28,12.766,40.6446
32,12.3736,-62.0997
10,3.17935,4.05991
2,1.42827,0.711082
2,0.744303,0.481582
38,13.1251,28.2216
50,20.4097,101.26
22,9.38954,-78.7904
144,75.6888,71.7385
28,10.9994,-71.3501
38,14.052,-72.4826
8,3.00036,34.3546
26,8.28793,-4.70661
32,12.7065,41.7352
8,3.23019,9.35581
38,17.6572,-50.1795
14,4.68637,-52.1427
22,8.61774,-25.963
14,5.50537,-45.9101
46,20.5531,-47.8324
26,8.04338,-46.2656
26,9.00298,63.1235
64,27.9709,-25.8157
20,6.71903,-71.0888
40,17.5029,-26.001
20,8.50312,62.3473
34,13.63,-66.1982
26,8.44164,-17.0749
40,11.146,-86.4222
18,4.92927,-13.0347
90,51.7779,53.4158
46,17.6404,-5.59541
38,21.8951,23.4398
40,12.2947,-26.567
6,1.25894,-3.04199
22,9.35428,79.4578
20,7.46837,64.2599
4,1.05401,17.2316
30,11.372,-65.6271
32,14.4301,-48.3471
18,6.43349,55.7669
30,9.9786,-65.9645
26,12.1515,-104.701
52,17.7943,66.9865
10,3.31432,0.554808
8,2.32486,14.1038
8,3.24205,-17.0032
50,20.3319,155.16
32,12.8353,-69.628
26,9.67537,-1.59882
20,6.35385,-21.5535
28,9.687,-94.0988
16,5.3972,-54.4785
68,33.0242,4.76552
10,5.14851,42.2684
18,10.1946,86.4616
52,19.6942,-20.3242
12,4.50297,-52.9092
16,6.12133,48.912
10,3.91281,44.1045
22,8.85714,-75.1024
22,8.40113,30.4825
34,13.1761,-18.7041
26,11.3433,-70.6523
36,13.1433,106.938
2,0.497771,-0.361649
56,23.7462,-3.30815
58,19.779,22.5811
10,4.80138,-3.50002
6,1.97865,-29.8123
4,1.94058,-15.5037
6,3.32466,24.3341
36,12.4471,-84.8533
4,2.37549,-11.3853
22,9.08795,85.3301
74,28.6716,58.3464
44,16.511,-67.0595
28,11.4206,-11.9419
54,19.316,-98.3579
22,6.48772,-2.96191
40,14.7543,-11.0104
20,11.4587,-49.7314
24,6.21356,-89.147
48,17.1068,8.86268
18,6.18041,79.6898
32,9.12146,68.07
38,11.3656,-30.2545
28,11.9486,12.5489
38,13.3511,-41.7403
24,6.55199,46.895
48,21.3459,95.0997
30,9.25373,-87.7327
16,5.83039,24.1484
38,11.7362,51.5534
8,2.42058,8.38651
92,43.6605,-91.873
38,12.5117,49.445
4,1.06757,-15.232
44,16.5685,-27.9961
30,11.8576,16.7458
14,5.92526,23.9135
36,16.2939,-70.574
12,4.29202,3.79385
52,19.6412,42.7059
34,12.26,-20.4164
40,14.5944,28.8369
22,7.86468,-61.624
40,16.2861,-100.681
30,9.75149,70.6807
24,8.7203,31.9216
10,2.76376,-55.5512
18,6.68138,12.5056
70,38.0048,-121.403
48,18.7317,-67.1608
12,3.45897,-15.6545
30,12.0605,-54.9468
18,6.13191,-40.2234
42,17.5226,71.992
28,11.9378,62.1015
16,4.41426,-57.0751
26,9.70071,67.1932
24,8.02163,-96.5608
24,8.70686,-54.7385
32,14.5917,98.4292
40,17.7186,-8.23752
6,2.00904,25.0429
30,8.06575,0.0764908
26,8.43484,-55.917
54,25.0969,-25.7383
4,1.24683,-17.948
18,8.16219,-31.717
26,10.273,-37.0783
18,7.14871,98.1483
22,6.83346,69.1827
32,12.4923,9.97405
46,23.8147,-65.6235
46,14.5583,98.768
8,4.03024,-8.42881
4,1.06909,14.2336
30,11.6181,25.0717
36,14.3073,13.329
50,19.0831,125.251
22,7.92877,42.1275
20,8.25853,6.47693
24,10.3442,77.1484
68,27.7889,27.9386
16,8.12289,-44.8897
10,3.1766,22.5134
18,5.77943,-78.8679
2,0.941,0.473156
24,11.6053,-66.6099
20,6.29022,88.8993
34,18.4548,-108.578
