mult,pT,eta
20,9.13657,22.8392
28,9.10784,-58.2991
4,1.94007,-6.91804
24,8.37469,-59.9709
26,9.41409,16.7128
8,2.65499,12.3733
6,2.32531,-13.4778
6,1.72222,23.2928
24,8.52002,-44.7398
12,5.55052,-27.8292
6,2.15523,-17.1235
4,1.26149,4.92221
14,5.18846,-29.4181
44,16.398,26.4494
28,10.7052,-48.4299
14,4.10363,66.2907
22,10.0272,-26.3065
16,4.0774,-82.2289
6,1.50217,-5.2554
4,0.886006,-9.77153
4,1.53213,-14.0352
4,2.2014,10.4051
16,3.61928,-16.0888
2,0.528135,0.15127
10,4.84733,-23.7863
2,0.495857,2.50378
6,2.73323,18.1984
4,1.21194,-5.13479
4,1.96035,2.97362
30,11.7725,-14.5513
4,1.60165,3.32531
28,9.58497,-13.1514
14,5.38581,-12.061
6,1.90899,13.6601
4,1.67024,-8.61235
6,1.55568,14.2354
6,1.96952,7.56972
22,10.0527,-25.5077
6,1.69896,8.77855
32,9.73561,-64.9203
4,2.55805,2.2079
30,12.7724,82.2129
26,9.17774,47.6895
14,6.52007,-3.11012
4,1.55497,-2.89005
6,1.59099,-13.6451
4,2.28877,-2.15371
10,3.13301,-16.0187
14,4.54724,-37.8059
22,9.15381,19.3314
4,1.37989,1.47872
4,1.13362,10.3705
4,0.663502,0.938697
4,1.63971,9.91267
12,4.62226,14.8587
2,0.622298,-1.39757
10,4.08486,-38.807
8,2.57397,-27.9162
40,13.7712,-7.53508
18,8.07987,34.9831
24,11.6628,-80.5801
46,20.2604,11.0297
16,5.26522,-53.0882
14,6.73067,-14.0389
10,3.28177,25.4984
12,4.20399,-12.8108
12,3.8313,35.6008
12,5.26681,0.0898273
14,4.50325,-22.1503
18,5.96271,-14.5502
12,4.03813,-17.6753
14,5.46002,-3.68004
8,1.73712,-17.2745
18,5.82022,-4.58508
6,2.19087,8.80022
28,11.2944,-0.00104955
22,7.78812,33.1513
4,1.07328,-1.21213
40,12.9183,60.327
8,2.66942,-30.3706
6,1.84646,-7.37902
4,0.952699,12.4573
12,4.85199,-15.2814
24,9.6969,26.0332
4,1.76789,-5.67112
30,14.7719,15.14
22,9.04521,33.7444
2,0.647,-0.262126
36,12.6734,62.7327
4,2.07509,8.61323
38,14.1244,-36.6497
14,6.54187,-17.2749
6,2.428,-5.00841
40,19.2273,8.59968
6,1.66695,-14.078
20,9.62886,-77.5395
38,16.0067,74.6291
16,4.84858,59.1923
6,1.25072,23.7571
16,6.17249,-41.0657
24,7.70824,62.117
2,0.342825,-0.0314428
10,3.75241,-36.4079
46,15.0952,-91.6755
26,7.86598,12.9168
8,2.2155,15.0274
6,1.8912,21.391
10,2.94366,-23.6447
8,2.36895,-15.5614
4,1.33888,4.25763
8,3.1468,-6.53807
24,11.5234,22.4291
30,14.5296,52.1086
4,1.5319,-2.67406
8,4.0589,-7.25302
10,3.6429,24.2482
6,1.0996,-24.1546
16,4.39088,-51.0074
16,5.68259,14.7738
6,1.93132,-22.7269
8,3.11886,20.5385
16,5.655,23.793
8,2.57848,26.2501
32,13.5128,-1.48673
8,3.15672,1.35963
18,6.72608,37.0207
4,1.2626,-5.02592
4,1.25114,-9.47757
12,4.09394,-34.9222
8,2.57526,-7.40961
14,6.34781,-6.63924
20,4.2257,-37.6953
16,5.23832,3.81979
18,6.05766,-1.07619
4,1.21864,3.10833
2,0.525435,0.253216
22,8.66169,3.44502
10,3.0217,-32.1735
4,1.73676,-2.75297
4,1.55539,3.43698
14,5.59223,49.7695
10,4.54176,-8.0121
4,2.20814,-12.3068
12,4.48588,-10.2948
40,14.7235,-42.2484
6,2.47989,-2.27176
20,5.0698,51.983
4,1.58296,-7.8305
34,12.0263,-22.4369
20,7.4055,36.2721
10,4.51957,-9.34027
4,1.37177,7.15232
6,1.10694,10.6128
6,1.89833,-14.9674
8,5.00578,0.323116
6,1.68699,22.0596
28,10.2135,32.2682
22,6.21356,-35.8921
24,9.74388,20.8363
10,2.61703,-15.6092
14,4.90959,39.2649
28,10.8887,16.8166
6,1.32078,-18.1474
6,1.36429,14.2256
30,16.8423,-0.75928
6,2.06619,23.9554
20,6.86516,81.3913
4,1.837,-5.56382
4,1.67233,2.96091
6,1.78346,5.11246
6,2.28424,23.9749
6,2.13693,3.37724
4,1.39794,-5.45188
42,13.5247,-44.4672
4,1.01914,2.62931
22,8.81696,16.1255
14,5.31629,54.3371
24,8.40058,13.7502
4,0.665708,-10.6853
8,3.07578,12.9589
8,2.69788,16.5793
8,2.50167,20.0533
24,10.2266,-12.114
26,6.40152,1.17154
22,10.1523,57.5477
