mult,pT,eta
32,10.3925,72.3683
22,8.69305,-85.3878
24,10.502,69.4278
38,12.3093,41.1296
18,6.73002,-41.7984
76,31.7669,89.297
48,15.5285,37.9342
94,47.032,6.08513
46,21.3659,28.7306
4,0.871884,-17.4674
24,11.6802,89.3296
20,7.59297,-74.5588
48,18.9233,56.6392
18,5.60418,-78.3145
32,15.2649,-15.4429
118,58.2252,144.8
42,17.0057,-162.191
22,7.59458,72.1938
16,6.30337,55.9817
32,9.70981,65.386
18,8.04807,77.7055
40,14.7978,69.6683
20,6.47404,-13.072
2,0.201957,0.693299
22,10.1998,-51.7555
60,24.9639,98.4803
22,7.67904,60.0284
48,20.79,-45.7311
28,11.2799,121.314
18,7.36514,-85.7338
22,8.64687,76.4036
10,3.62243,55.1705
36,10.6226,55.3288
24,7.37665,91.6471
38,14.4411,-33.5196
116,57.1936,27.1182
4,0.604959,-10.6688
30,12.537,7.37018
32,13.7834,135.906
18,7.35801,30.6693
20,8.11247,58.5406
30,10.0366,-73.28
32,12.8632,-125.703
4,1.20747,-14.539
10,3.63944,38.0802
10,3.6215,56.9707
34,14.5977,63.1974
14,4.26001,80.0003
62,25.3133,159.577
26,8.52763,-71.4775
8,1.36743,-46.9398
8,2.68907,-43.6407
32,12.837,-57.7585
16,7.59721,59.6722
8,2.15661,25.8523
30,11.9764,100.098
8,2.32718,-35.9953
18,5.2954,-72.7354
34,10.1395,25.9135
8,3.76546,24.5362
26,9.3659,82.7424
8,4.08646,-30.447
20,8.40677,58.7846
30,11.5379,44.2006
22,8.76782,65.4769
22,10.1525,66.2437
28,9.00883,-70.6873
14,5.82886,64.6935
10,2.97135,41.5355
12,5.68693,-46.4391
22,10.0045,-62.6965
28,11.7489,45.2425
62,27.9327,-42.5501
18,5.64121,57.9784
34,14.7388,70.4978
8,3.40727,-37.5116
38,12.9449,85.6166
2,0.243904,4.3038
36,17.2864,54.6442
2,0.596223,-0.477038
44,18.0129,-7.69598
188,110.13,161.741
10,3.48275,-19.6056
30,11.2911,-58.461
14,4.71767,-56.8563
22,6.47514,-86.9087
6,2.0816,-28.9021
8,2.92808,36.5358
18,6.61263,75.4434
4,1.06749,-12.6712
2,0.172645,2.00209
18,6.90603,76.8737
28,7.8017,-71.6989
36,11.3902,-75.8143
58,34.5995,-1.84927
4,1.51864,13.9174
22,8.64553,93.1825
36,16.8155,-28.555
22,9.92333,52.5066
2,0.608593,2.32213
16,6.63058,-59.9247
22,7.88009,-1.20014
32,10.9945,-3.90448
44,16.0121,-6.36872
8,1.3639,-32.4363
10,3.4896,27.9884
32,17.3449,21.7144
28,9.72891,-64.2683
14,4.38249,-75.0805
30,14.1122,-52.5037
32,12.4166,72.1345
4,0.499711,15.932
4,1.16422,-16.7921
62,23.1021,-184.388
24,9.63284,16.0214
8,2.2314,-39.7645
16,7.19154,-57.7562
30,10.6523,-69.5817
46,16.8543,2.0558
14,4.68752,-74.4633
18,5.91281,-71.0137
6,1.35119,-29.0597
4,0.901202,15.3636
30,10.0341,-93.0736
38,11.1368,-77.8298
2,0.637684,0.353722
16,7.12827,49.0254
2,0.902957,3.41578
32,10.8248,16.3253
4,1.06501,15.3229
8,3.92753,37.7976
32,10.4019,29.0412
24,8.14029,30.1332
30,7.85578,17.0453
22,6.31198,-89.9062
28,12.2015,71.4966
22,7.42539,63.3831
64,28.5916,184.727
70,31.9985,-80.8501
4,1.0623,-16.4471
14,4.12587,-79.2628
26,9.58267,85.4695
4,0.456623,18.2502
20,8.29306,57.6947
14,3.77171,43.656
26,10.3346,-76.1756
2,0.812782,-0.730925
38,15.8787,118.652
22,8.66376,-90.1765
22,9.18959,-30.7611
42,21.8896,-125.632
4,1.00746,11.5454
2,0.871034,1.16995
66,28.6013,-111.522
16,4.69616,-73.3225
2,0.963967,1.36991
16,5.38711,58.5166
10,3.44666,42.1022
28,11.3312,-37.5589
4,0.856215,14.3689
18,7.77754,79.6017
44,15.3577,-98.1895
28,9.51666,-97.6211
12,3.42616,57.9489
12,5.88245,52.6694
8,1.64389,42.5591
14,4.37118,-69.5788
12,4.46244,53.0949
12,5.65805,30.3674
18,5.82578,71.3609
32,14.1532,-64.8085
8,1.83495,-35.8491
2,0.668514,0.549583
10,4.4335,39.8603
4,0.772668,15.0417
58,28.4126,69.5849
54,23.9269,-60.5095
50,21.4451,7.08877
2,0.21829,0.97222
4,1.66414,12.5115
4,1.37387,10.0278
8,3.19351,-34.3638
2,0.62385,2.10742
74,33.9193,152.897
28,10.3282,18.722
16,6.26799,-74.0429
