mult,pT,eta
2,0.369967,1.04413
12,2.68248,-57.8354
82,35.0831,152.611
20,8.21808,-72.6291
30,7.326,45.7872
32,9.83733,-111.539
2,0.526144,-4.28514
18,6.35908,57.7822
4,1.33431,-15.032
4,1.38869,-4.75224
10,3.26156,-58.2882
8,1.30019,-44.5744
30,13.2376,45.1638
4,1.57812,-10.9107
4,1.30384,-12.0923
6,1.52966,-31.3192
92,41.6165,-127.565
20,7.01974,-20.3369
26,12.4214,8.39327
18,6.76722,61.3373
60,31.6337,67.1444
40,13.8756,24.6958
72,30.0803,176.922
10,2.95785,-45.723
28,17.3175,106.87
38,12.7448,38.3048
8,2.70973,-6.08784
2,0.714744,-2.24427
20,6.95027,81.2708
28,10.7472,-10.2655
50,14.4468,28.7796
12,4.79,51.5263
2,0.737501,-0.356043
64,30.2062,123.876
22,8.73135,-84.3803
34,15.9037,-66.4255
26,11.578,113.915
4,1.22084,20.0962
34,13.3025,102.582
30,11.6918,-83.2644
38,17.242,-30.2424
12,4.2047,5.32028
42,16.2526,132.846
30,12.7675,-58.1025
38,14.2554,-98.5799
30,12.5236,98.3145
20,7.26191,43.4593
4,1.00557,11.6454
18,6.17183,62.3939
18,6.10586,92.2017
42,16.2178,-45.4169
28,9.00499,40.9618
12,3.18342,1.59588
38,13.7662,5.96524
12,5.1179,22.2481
40,16.8019,-65.9254
30,10.2043,80.1809
56,23.5402,-72.3932
40,13.6737,-96.418
22,6.24152,-73.6616
54,18.808,-97.9903
10,2.79122,-26.1648
30,8.69731,-6.1234
30,9.98056,91.9614
12,5.10635,-65.0685
4,0.830953,13.5127
36,20.3568,71.9652
8,1.90397,-13.3351
94,39.1506,54.318
26,8.2736,-67.3007
42,17.0894,-47.0997
30,11.0563,88.3795
4,0.363729,-18.3743
20,7.12386,-74.8779
14,5.18771,63.5772
8,1.94074,36.0115
34,14.3273,-10.405
16,7.1232,20.9465
18,6.91612,71.0292
30,11.2802,6.27632
32,12.2193,98.9873
14,3.02861,61.1421
28,10.2091,-70.5436
14,8.41304,47.9819
16,8.00481,16.5836
8,2.18954,33.0386
28,9.14234,22.4797
18,6.16506,-30.6687
4,1.19121,12.6524
32,12.1439,102.303
4,1.1082,18.3359
2,0.562031,-2.5963
6,2.45555,29.0094
26,9.69067,30.3686
4,1.31071,16.6918
32,10.1823,-66.6042
38,13.7614,-113.004
16,5.5423,51.7351
8,1.97868,-37.3817
2,0.360531,-1.65958
22,10.6321,76.2618
26,9.18817,81.8864
24,9.68031,87.8385
34,15.1886,-57.2246
12,3.3976,45.6632
4,0.891889,-14.7629
2,1.26002,-2.20575
38,14.9576,95.2862
42,18.0793,-177.783
4,1.24084,-13.278
6,1.39929,-3.16669
6,3.40308,29.1187
4,1.39389,-3.60686
2,0.228547,1.25303
2,0.470543,-2.15268
2,0.259079,2.79553
24,7.40072,-59.774
30,8.78836,-5.74722
22,8.68103,-60.5469
2,0.584343,-1.2091
30,9.68503,65.2381
18,5.41227,-66.5698
6,2.11899,25.4229
44,13.1032,20.3949
4,0.901583,-3.94573
4,1.26738,-14.0686
20,7.1566,98.0684
38,14.8605,102.104
12,3.50624,37.6866
24,7.24109,50.6219
46,20.1301,-17.5368
18,6.77611,-55.8263
4,1.19829,13.9222
4,1.19605,18.8966
6,1.46002,24.1857
28,9.93706,86.2782
12,4.53021,-66.2451
4,1.16914,-16.4752
40,22.0441,-60.432
60,27.937,-157.483
12,4.75733,-13.5605
22,7.48845,54.5659
34,11.8387,-24.2034
30,11.2693,116.265
4,1.6528,14.5705
32,11.2494,-62.2096
14,4.46051,26.6911
14,5.53589,-60.3231
2,1.09753,-1.80735
32,10.2815,-0.389265
56,20.9542,-60.0935
30,13.1173,-85.9824
6,2.59871,-26.5676
26,11.512,-20.3033
46,19.8121,-159.868
22,7.78796,-73.1912
4,0.6633,-15.419
24,11.4043,-18.4381
36,12.9865,-49.0606
4,1.16164,13.9446
46,16.961,-13.3922
38,14.057,57.249
14,5.25361,-7.11755
44,18.1761,-65.7941
26,8.50725,84.5546
20,6.44989,64.3867
16,4.41939,86.2282
12,4.65399,66.0153
32,11.5314,-119.114
30,11.8765,-45.1677
8,2.21651,13.5063
48,15.752,63.2407
44,20.2384,50.9504
28,15.2078,84.547
26,9.40186,73.6074
40,20.1419,-52.4375
30,13.8371,-51.6718
6,2.37875,-3.08679
14,4.91272,-36.3933
16,5.69868,65.0067
2,1.41119,-2.3059
14,4.84963,-36.9489
8,2.41019,40.2728
26,8.36231,61.4275
42,18.7589,0.141789
48,18.5403,-48.6819
12,4.81536,-66.5204
28,9.94779,-26.0635
28,11.1439,69.2939
52,29.4934,-134.117
22,9.51765,-54.8411
18,6.45041,-72.6542
8,2.69789,39.1258
20,9.48575,90.197
22,7.64862,65.4109
82,33.4455,-15.3368
26,9.15668,109.991
6,2.06143,25.174
8,1.64323,-31.6511
8,3.13596,14.1331
8,2.72966,-28.6483
28,12.1022,50.1228
46,18.0239,-150.198
10,3.49849,-26.118
8,1.96972,-32.4333
24,8.12227,-61.3179
18,6.64938,-8.74382
32,13.4673,-68.9785
22,8.95771,88.2292
30,11.8919,22.3578
16,4.58582,64.306
2,0.796073,0.501572
36,17.1603,51.7699
44,19.7821,-28.5728
10,3.95968,-51
6,1.45851,27.6868
32,12.5853,-114.69
46,18.1932,-144.279
20,8.77786,54.7006
26,8.35529,-48.299
80,40.2589,-8.92925
72,40.9791,103.142
16,4.23778,41.7194
56,26.7447,53.6477
36,13.0395,98.862
6,3.53564,-23.0397
42,15.248,-84.8208
32,12.5688,-28.6035
2,0.714244,0.850406
16,5.28014,68.8194
16,6.99524,70.3665
28,12.7711,71.3924
28,11.4982,33.5275
44,21.8039,-128.481
34,17.0996,103.058
76,28.6661,118.059
72,35.402,49.8185
32,21.0813,76.6443
40,20.3621,42.7652
56,28.7546,-49.3847
2,0.619117,-2.05465
28,9.35109,81.1988
30,14.7556,62.2844
6,1.91986,-26.5527
